iter	Passed	Remaining
0	165	828913
1	292	730334
2	360	600112
3	463	578957
4	550	550369
5	627	522399
6	700	499347
7	904	564206
8	1015	563355
9	1113	555432
10	1193	541177
11	1271	528386
12	1336	512639
13	1415	504194
14	1515	503763
15	1631	508091
16	1762	516541
17	1834	507736
18	1917	502712
19	2020	503174
20	2104	498985
21	2186	494812
22	2263	489894
23	2325	482227
24	2398	477293
25	2469	472457
26	2553	470373
27	2630	467177
28	2693	461654
29	2765	458140
30	2833	454133
31	2914	452505
32	3031	456234
33	3106	453688
34	3185	451890
35	3256	449002
36	3323	445788
37	3392	443025
38	3465	440785
39	3544	439561
40	3625	438522
41	3707	437646
42	3781	435903
43	3861	434970
44	3944	434372
45	4025	433534
46	4103	432397
47	4184	431696
48	4265	430947
49	4347	430371
50	4423	429248
51	4510	429166
52	4595	428937
53	4668	427608
54	4755	427529
55	4846	427840
56	4946	428961
57	5024	428106
58	5109	427910
59	5199	428096
60	5282	427708
61	5367	427479
62	5459	427800
63	5562	429000
64	5679	431218
65	5772	431573
66	5892	433854
67	5980	433777
68	6082	434708
69	6160	433882
70	6249	433873
71	6334	433575
72	6415	433035
73	6504	433008
74	6600	433419
75	6687	433268
76	6766	432643
77	6857	432756
78	6952	433095
79	7043	433176
80	7131	433063
81	7226	433403
82	7300	432464
83	7388	432425
84	7479	432512
85	7567	432422
86	7643	431650
87	7737	431867
88	7819	431481
89	7951	433800
90	8026	432997
91	8111	432709
92	8196	432498
93	8274	431876
94	8368	432082
95	8458	432062
96	8544	431893
97	8629	431675
98	8708	431124
99	8793	430898
100	8884	430920
101	8977	431082
102	9076	431522
103	9166	431536
104	9246	431082
105	9335	431004
106	9414	430505
107	9483	429588
108	9572	429548
109	9646	428852
110	9734	428754
111	9811	428214
112	9894	427911
113	9984	427914
114	10124	430050
115	10213	430036
116	10276	428897
117	10349	428177
118	10427	427694
119	10515	427612
120	10585	426842
121	10670	426628
122	10755	426449
123	10837	426153
124	10924	426070
125	10998	425451
126	11084	425311
127	11162	424867
128	11247	424713
129	11328	424393
130	11501	427468
131	11594	427585
132	11718	428817
133	11790	428159
134	11899	428810
135	12268	438762
136	12396	440034
137	12480	439701
138	12564	439397
139	12644	438949
140	12733	438796
141	12810	438259
142	12891	437849
143	12999	438376
144	13078	437895
145	13152	437261
146	13220	436458
147	13295	435890
148	13369	435261
149	13440	434587
150	13482	432952
151	13562	432576
152	13648	432390
153	13730	432074
154	13801	431423
155	13873	430790
156	13953	430415
157	14020	429672
158	14068	428348
159	14161	428376
160	14243	428099
161	14326	427842
162	14409	427611
163	14480	426994
164	14556	426552
165	14637	426249
166	14717	425913
167	14788	425358
168	14862	424860
169	14933	424292
170	15013	423972
171	15081	423343
172	15152	422781
173	15239	422685
174	15322	422472
175	15388	421777
176	15453	421090
177	15527	420639
178	15570	419358
179	15649	419048
180	15726	418712
181	15807	418473
182	15886	418175
183	15968	417966
184	16041	417505
185	16116	417114
186	16202	417010
187	16281	416725
188	16353	416286
189	16431	415973
190	16526	416109
191	16602	415745
192	16677	415380
193	16748	414917
194	16825	414588
195	16904	414332
196	16954	413353
197	17025	412910
198	17111	412815
199	17179	412312
200	17258	412048
201	17334	411738
202	17402	411226
203	17460	410482
204	17519	409778
205	17583	409190
206	17654	408782
207	17735	408607
208	17822	408557
209	17890	408071
210	17966	407780
211	18045	407546
212	18113	407094
213	18188	406781
214	18263	406466
215	18355	406536
216	18425	406115
217	18496	405744
218	18563	405267
219	18643	405082
220	18721	404844
221	18799	404619
222	18885	404554
223	18969	404451
224	19046	404200
225	19122	403950
226	19207	403874
227	19278	403485
228	19356	403275
229	19432	403021
230	19524	403080
231	19595	402730
232	19676	402566
233	19754	402343
234	19840	402287
235	19916	402050
236	19985	401657
237	20058	401346
238	20143	401270
239	20212	400877
240	20282	400513
241	20363	400364
242	20441	400155
243	20514	399861
244	20594	399702
245	20662	399314
246	20731	398941
247	20813	398816
248	20895	398685
249	20964	398322
250	21042	398135
251	21112	397792
252	21198	397740
253	21283	397683
254	21341	397113
255	21415	396846
256	21492	396648
257	21567	396399
258	21652	396347
259	21727	396109
260	21813	396074
261	21886	395795
262	21967	395668
263	22040	395389
264	22112	395105
265	22187	394867
266	22275	394862
267	22329	394274
268	22409	394115
269	22477	393769
270	22561	393706
271	22637	393499
272	22707	393181
273	22787	393045
274	22873	393006
275	22949	392800
276	23027	392633
277	23109	392525
278	23191	392431
279	23261	392129
280	23347	392087
281	23442	392196
282	23531	392218
283	23621	392256
284	23692	391960
285	23779	391950
286	23859	391810
287	23946	391793
288	24034	391790
289	24113	391642
290	24194	391521
291	24275	391393
292	24377	391627
293	24484	391918
294	24563	391763
295	24645	391668
296	24735	391689
297	24814	391534
298	24903	391538
299	24999	391654
300	25071	391392
301	25167	391514
302	25259	391561
303	25343	391488
304	25421	391318
305	25532	391658
306	25639	391935
307	25723	391859
308	25816	391927
309	25895	391772
310	25977	391662
311	26052	391457
312	26142	391469
313	26226	391393
314	26319	391451
315	26417	391581
316	26506	391570
317	26590	391492
318	26674	391427
319	26763	391414
320	26828	391057
321	26920	391097
322	26999	390951
323	27076	390774
324	27166	390780
325	27254	390758
326	27332	390594
327	27408	390399
328	27491	390305
329	27583	390354
330	27667	390271
331	27743	390084
332	27826	389989
333	27908	389881
334	27990	389773
335	28059	389489
336	28144	389428
337	28231	389396
338	28308	389214
339	28388	389091
340	28477	389082
341	28560	388994
342	28653	389030
